subject_ru,levels,type,topic_ru,topic_kz,prompt_ru,prompt_kz,options_ru,options_kz,correct_option_ids,sample_answer_ru,sample_answer_kz,keywords_ru,keywords_kz,explanation_ru,explanation_kz
Математика,easy,single_choice,Дроби,Бөлшектер,Найдите сумму дробей: 2/5 + 8/4,Бөлшектердің қосындысын табыңыз: 2/5 + 8/4,47/20|12/5|49/20|-8/5,47/20|12/5|49/20|-8/5,2,,,,,Приведите к общему знаменателю и сложите числители.,"Ортақ бөлімге келтіріп, алымдарды қосыңыз."
Математика,easy,single_choice,Дроби,Бөлшектер,Найдите сумму дробей: 2/6 + 2/5,Бөлшектердің қосындысын табыңыз: 2/6 + 2/5,23/30|7/10|-1/15|11/15,23/30|7/10|-1/15|11/15,4,,,,,Приведите к общему знаменателю и сложите числители.,"Ортақ бөлімге келтіріп, алымдарды қосыңыз."
Математика,easy,single_choice,Дроби,Бөлшектер,Найдите сумму дробей: 8/6 + 2/4,Бөлшектердің қосындысын табыңыз: 8/6 + 2/4,43/24|11/6|15/8|5/6,43/24|11/6|15/8|5/6,2,,,,,Приведите к общему знаменателю и сложите числители.,"Ортақ бөлімге келтіріп, алымдарды қосыңыз."
Математика,easy,single_choice,Дроби,Бөлшектер,Найдите сумму дробей: 8/9 + 1/3,Бөлшектердің қосындысын табыңыз: 8/9 + 1/3,34/27|32/27|5/9|11/9,34/27|32/27|5/9|11/9,4,,,,,Приведите к общему знаменателю и сложите числители.,"Ортақ бөлімге келтіріп, алымдарды қосыңыз."
Математика,easy,single_choice,Дроби,Бөлшектер,Найдите сумму дробей: 7/7 + 6/5,Бөлшектердің қосындысын табыңыз: 7/7 + 6/5,-1/5|78/35|76/35|11/5,-1/5|78/35|76/35|11/5,4,,,,,Приведите к общему знаменателю и сложите числители.,"Ортақ бөлімге келтіріп, алымдарды қосыңыз."
Математика,easy,single_choice,Дроби,Бөлшектер,Найдите сумму дробей: 5/7 + 9/3,Бөлшектердің қосындысын табыңыз: 5/7 + 9/3,-16/7|79/21|11/3|26/7,-16/7|79/21|11/3|26/7,4,,,,,Приведите к общему знаменателю и сложите числители.,"Ортақ бөлімге келтіріп, алымдарды қосыңыз."
Математика,easy,single_choice,Дроби,Бөлшектер,Найдите сумму дробей: 6/2 + 8/10,Бөлшектердің қосындысын табыңыз: 6/2 + 8/10,11/5|15/4|77/20|19/5,11/5|15/4|77/20|19/5,4,,,,,Приведите к общему знаменателю и сложите числители.,"Ортақ бөлімге келтіріп, алымдарды қосыңыз."
Математика,easy,single_choice,Дроби,Бөлшектер,Найдите сумму дробей: 6/8 + 8/4,Бөлшектердің қосындысын табыңыз: 6/8 + 8/4,87/32|11/4|89/32|-5/4,87/32|11/4|89/32|-5/4,2,,,,,Приведите к общему знаменателю и сложите числители.,"Ортақ бөлімге келтіріп, алымдарды қосыңыз."
Математика,easy,single_choice,Дроби,Бөлшектер,Найдите сумму дробей: 4/6 + 7/3,Бөлшектердің қосындысын табыңыз: 4/6 + 7/3,-5/3|53/18|3|55/18,-5/3|53/18|3|55/18,3,,,,,Приведите к общему знаменателю и сложите числители.,"Ортақ бөлімге келтіріп, алымдарды қосыңыз."
Математика,easy,single_choice,Дроби,Бөлшектер,Найдите сумму дробей: 9/5 + 5/7,Бөлшектердің қосындысын табыңыз: 9/5 + 5/7,87/35|89/35|38/35|88/35,87/35|89/35|38/35|88/35,4,,,,,Приведите к общему знаменателю и сложите числители.,"Ортақ бөлімге келтіріп, алымдарды қосыңыз."
Математика,easy,single_choice,Дроби,Бөлшектер,Найдите сумму дробей: 2/2 + 2/6,Бөлшектердің қосындысын табыңыз: 2/2 + 2/6,2/3|17/12|5/4|4/3,2/3|17/12|5/4|4/3,4,,,,,Приведите к общему знаменателю и сложите числители.,"Ортақ бөлімге келтіріп, алымдарды қосыңыз."
Математика,easy,single_choice,Дроби,Бөлшектер,Найдите сумму дробей: 7/5 + 6/2,Бөлшектердің қосындысын табыңыз: 7/5 + 6/2,22/5|-8/5|9/2|43/10,22/5|-8/5|9/2|43/10,1,,,,,Приведите к общему знаменателю и сложите числители.,"Ортақ бөлімге келтіріп, алымдарды қосыңыз."
Математика,easy,single_choice,Дроби,Бөлшектер,Найдите сумму дробей: 9/5 + 4/2,Бөлшектердің қосындысын табыңыз: 9/5 + 4/2,39/10|37/10|19/5|-1/5,39/10|37/10|19/5|-1/5,3,,,,,Приведите к общему знаменателю и сложите числители.,"Ортақ бөлімге келтіріп, алымдарды қосыңыз."
Математика,easy,single_choice,Дроби,Бөлшектер,Найдите сумму дробей: 7/5 + 8/9,Бөлшектердің қосындысын табыңыз: 7/5 + 8/9,23/45|104/45|103/45|34/15,23/45|104/45|103/45|34/15,3,,,,,Приведите к общему знаменателю и сложите числители.,"Ортақ бөлімге келтіріп, алымдарды қосыңыз."
Математика,easy,single_choice,Дроби,Бөлшектер,Найдите сумму дробей: 5/3 + 6/3,Бөлшектердің қосындысын табыңыз: 5/3 + 6/3,32/9|11/3|34/9|-1/3,32/9|11/3|34/9|-1/3,2,,,,,Приведите к общему знаменателю и сложите числители.,"Ортақ бөлімге келтіріп, алымдарды қосыңыз."
Математика,easy,single_choice,Проценты,Пайыздар,Найдите 50% от числа 80.,80 санының 50% табыңыз.,35|45|50|40,35|45|50|40,4,,,,,"50% = 50/100, умножаем 80 на 50/100.","50% = 50/100, 80-ты 50/100-ге көбейтеміз."
Математика,easy,single_choice,Проценты,Пайыздар,Найдите 50% от числа 50.,50 санының 50% табыңыз.,25|30|35|20,25|30|35|20,1,,,,,"50% = 50/100, умножаем 50 на 50/100.","50% = 50/100, 50-ты 50/100-ге көбейтеміз."
Математика,easy,single_choice,Проценты,Пайыздар,Найдите 50% от числа 250.,250 санының 50% табыңыз.,135|130|125|120,135|130|125|120,3,,,,,"50% = 50/100, умножаем 250 на 50/100.","50% = 50/100, 250-ты 50/100-ге көбейтеміз."
Математика,easy,single_choice,Проценты,Пайыздар,Найдите 60% от числа 200.,200 санының 60% табыңыз.,115|130|125|120,115|130|125|120,4,,,,,"60% = 60/100, умножаем 200 на 60/100.","60% = 60/100, 200-ты 60/100-ге көбейтеміз."
Математика,easy,single_choice,Проценты,Пайыздар,Найдите 10% от числа 120.,120 санының 10% табыңыз.,7|12|22|17,7|12|22|17,2,,,,,"10% = 10/100, умножаем 120 на 10/100.","10% = 10/100, 120-ты 10/100-ге көбейтеміз."
Математика,easy,single_choice,Проценты,Пайыздар,Найдите 25% от числа 150.,150 санының 25% табыңыз.,47.5|42.5|32.5|37.5,47.5|42.5|32.5|37.5,4,,,,,"25% = 25/100, умножаем 150 на 25/100.","25% = 25/100, 150-ты 25/100-ге көбейтеміз."
Математика,easy,single_choice,Проценты,Пайыздар,Найдите 12% от числа 150.,150 санының 12% табыңыз.,18|23|13|28,18|23|13|28,1,,,,,"12% = 12/100, умножаем 150 на 12/100.","12% = 12/100, 150-ты 12/100-ге көбейтеміз."
Математика,easy,single_choice,Проценты,Пайыздар,Найдите 12% от числа 40.,40 санының 12% табыңыз.,-0.20000000000000018|4.8|9.8|14.8,-0.20000000000000018|4.8|9.8|14.8,2,,,,,"12% = 12/100, умножаем 40 на 12/100.","12% = 12/100, 40-ты 12/100-ге көбейтеміз."
Математика,easy,single_choice,Проценты,Пайыздар,Найдите 25% от числа 300.,300 санының 25% табыңыз.,75|85|80|70,75|85|80|70,1,,,,,"25% = 25/100, умножаем 300 на 25/100.","25% = 25/100, 300-ты 25/100-ге көбейтеміз."
Математика,easy,single_choice,Проценты,Пайыздар,Найдите 40% от числа 250.,250 санының 40% табыңыз.,95|110|100|105,95|110|100|105,3,,,,,"40% = 40/100, умножаем 250 на 40/100.","40% = 40/100, 250-ты 40/100-ге көбейтеміз."
Математика,easy,single_choice,Проценты,Пайыздар,Найдите 5% от числа 80.,80 санының 5% табыңыз.,-1|4|14|9,-1|4|14|9,2,,,,,"5% = 5/100, умножаем 80 на 5/100.","5% = 5/100, 80-ты 5/100-ге көбейтеміз."
Математика,easy,single_choice,Проценты,Пайыздар,Найдите 40% от числа 50.,50 санының 40% табыңыз.,25|20|30|15,25|20|30|15,2,,,,,"40% = 40/100, умножаем 50 на 40/100.","40% = 40/100, 50-ты 40/100-ге көбейтеміз."
Математика,easy,single_choice,Проценты,Пайыздар,Найдите 30% от числа 150.,150 санының 30% табыңыз.,45|50|55|40,45|50|55|40,1,,,,,"30% = 30/100, умножаем 150 на 30/100.","30% = 30/100, 150-ты 30/100-ге көбейтеміз."
Математика,easy,single_choice,Проценты,Пайыздар,Найдите 15% от числа 50.,50 санының 15% табыңыз.,12.5|7.5|17.5|2.5,12.5|7.5|17.5|2.5,2,,,,,"15% = 15/100, умножаем 50 на 15/100.","15% = 15/100, 50-ты 15/100-ге көбейтеміз."
Математика,easy,single_choice,Проценты,Пайыздар,Найдите 40% от числа 150.,150 санының 40% табыңыз.,55|60|70|65,55|60|70|65,2,,,,,"40% = 40/100, умножаем 150 на 40/100.","40% = 40/100, 150-ты 40/100-ге көбейтеміз."
Математика,easy,single_choice,Проценты,Пайыздар,Найдите 12% от числа 60.,60 санының 12% табыңыз.,12.2|2.2|7.2|17.2,12.2|2.2|7.2|17.2,3,,,,,"12% = 12/100, умножаем 60 на 12/100.","12% = 12/100, 60-ты 12/100-ге көбейтеміз."
Математика,easy,single_choice,Проценты,Пайыздар,Найдите 20% от числа 100.,100 санының 20% табыңыз.,30|20|15|25,30|20|15|25,2,,,,,"20% = 20/100, умножаем 100 на 20/100.","20% = 20/100, 100-ты 20/100-ге көбейтеміз."
Математика,easy,single_choice,Проценты,Пайыздар,Найдите 10% от числа 150.,150 санының 10% табыңыз.,25|20|10|15,25|20|10|15,4,,,,,"10% = 10/100, умножаем 150 на 10/100.","10% = 10/100, 150-ты 10/100-ге көбейтеміз."
Математика,easy,single_choice,Проценты,Пайыздар,Найдите 5% от числа 40.,40 санының 5% табыңыз.,12|-3|2|7,12|-3|2|7,3,,,,,"5% = 5/100, умножаем 40 на 5/100.","5% = 5/100, 40-ты 5/100-ге көбейтеміз."
Математика,easy,single_choice,Проценты,Пайыздар,Найдите 60% от числа 80.,80 санының 60% табыңыз.,48|53|58|43,48|53|58|43,1,,,,,"60% = 60/100, умножаем 80 на 60/100.","60% = 60/100, 80-ты 60/100-ге көбейтеміз."
Математика,easy,single_choice,Проценты,Пайыздар,Найдите 5% от числа 120.,120 санының 5% табыңыз.,6|11|1|16,6|11|1|16,1,,,,,"5% = 5/100, умножаем 120 на 5/100.","5% = 5/100, 120-ты 5/100-ге көбейтеміз."
Математика,easy,single_choice,Проценты,Пайыздар,Найдите 12% от числа 300.,300 санының 12% табыңыз.,41|46|31|36,41|46|31|36,4,,,,,"12% = 12/100, умножаем 300 на 12/100.","12% = 12/100, 300-ты 12/100-ге көбейтеміз."
Математика,easy,single_choice,Проценты,Пайыздар,Найдите 30% от числа 60.,60 санының 30% табыңыз.,13|18|28|23,13|18|28|23,2,,,,,"30% = 30/100, умножаем 60 на 30/100.","30% = 30/100, 60-ты 30/100-ге көбейтеміз."
Математика,easy,single_choice,Проценты,Пайыздар,Найдите 25% от числа 250.,250 санының 25% табыңыз.,67.5|62.5|57.5|72.5,67.5|62.5|57.5|72.5,2,,,,,"25% = 25/100, умножаем 250 на 25/100.","25% = 25/100, 250-ты 25/100-ге көбейтеміз."
Математика,easy,single_choice,Проценты,Пайыздар,Найдите 10% от числа 120.,120 санының 10% табыңыз.,17|12|7|22,17|12|7|22,2,,,,,"10% = 10/100, умножаем 120 на 10/100.","10% = 10/100, 120-ты 10/100-ге көбейтеміз."
Математика,medium,single_choice,Линейные уравнения,Сызықтық теңдеулер,Решите уравнение: 7x + (17) = 10,Теңдеуді шешіңіз: 7x + (17) = 10,-2|-1|1|0,-2|-1|1|0,2,,,,,Перенесите свободный член и разделите на коэффициент при x.,"Бос мүшені көшіріп, x алдындағы коэффициентке бөліңіз."
Математика,medium,single_choice,Линейные уравнения,Сызықтық теңдеулер,Решите уравнение: 5x + (1) = -24,Теңдеуді шешіңіз: 5x + (1) = -24,-6|-3|-4|-5,-6|-3|-4|-5,4,,,,,Перенесите свободный член и разделите на коэффициент при x.,"Бос мүшені көшіріп, x алдындағы коэффициентке бөліңіз."
Математика,medium,single_choice,Линейные уравнения,Сызықтық теңдеулер,Решите уравнение: 8x + (8) = 88,Теңдеуді шешіңіз: 8x + (8) = 88,12|9|11|10,12|9|11|10,4,,,,,Перенесите свободный член и разделите на коэффициент при x.,"Бос мүшені көшіріп, x алдындағы коэффициентке бөліңіз."
Математика,medium,single_choice,Линейные уравнения,Сызықтық теңдеулер,Решите уравнение: 7x + (12) = 5,Теңдеуді шешіңіз: 7x + (12) = 5,1|0|-2|-1,1|0|-2|-1,4,,,,,Перенесите свободный член и разделите на коэффициент при x.,"Бос мүшені көшіріп, x алдындағы коэффициентке бөліңіз."
Математика,medium,single_choice,Линейные уравнения,Сызықтық теңдеулер,Решите уравнение: 8x + (15) = 31,Теңдеуді шешіңіз: 8x + (15) = 31,3|4|1|2,3|4|1|2,4,,,,,Перенесите свободный член и разделите на коэффициент при x.,"Бос мүшені көшіріп, x алдындағы коэффициентке бөліңіз."
Математика,medium,single_choice,Линейные уравнения,Сызықтық теңдеулер,Решите уравнение: 4x + (-5) = -21,Теңдеуді шешіңіз: 4x + (-5) = -21,-5|-4|-3|-2,-5|-4|-3|-2,2,,,,,Перенесите свободный член и разделите на коэффициент при x.,"Бос мүшені көшіріп, x алдындағы коэффициентке бөліңіз."
Математика,medium,single_choice,Линейные уравнения,Сызықтық теңдеулер,Решите уравнение: 3x + (-10) = -4,Теңдеуді шешіңіз: 3x + (-10) = -4,1|2|3|4,1|2|3|4,2,,,,,Перенесите свободный член и разделите на коэффициент при x.,"Бос мүшені көшіріп, x алдындағы коэффициентке бөліңіз."
Математика,medium,single_choice,Линейные уравнения,Сызықтық теңдеулер,Решите уравнение: 6x + (-13) = -19,Теңдеуді шешіңіз: 6x + (-13) = -19,-2|-1|0|1,-2|-1|0|1,2,,,,,Перенесите свободный член и разделите на коэффициент при x.,"Бос мүшені көшіріп, x алдындағы коэффициентке бөліңіз."
Математика,medium,single_choice,Линейные уравнения,Сызықтық теңдеулер,Решите уравнение: 9x + (16) = 115,Теңдеуді шешіңіз: 9x + (16) = 115,13|12|11|10,13|12|11|10,3,,,,,Перенесите свободный член и разделите на коэффициент при x.,"Бос мүшені көшіріп, x алдындағы коэффициентке бөліңіз."
Математика,medium,single_choice,Линейные уравнения,Сызықтық теңдеулер,Решите уравнение: 5x + (15) = -15,Теңдеуді шешіңіз: 5x + (15) = -15,-6|-4|-5|-7,-6|-4|-5|-7,1,,,,,Перенесите свободный член и разделите на коэффициент при x.,"Бос мүшені көшіріп, x алдындағы коэффициентке бөліңіз."
Математика,medium,single_choice,Линейные уравнения,Сызықтық теңдеулер,Решите уравнение: 5x + (-18) = 7,Теңдеуді шешіңіз: 5x + (-18) = 7,7|4|6|5,7|4|6|5,4,,,,,Перенесите свободный член и разделите на коэффициент при x.,"Бос мүшені көшіріп, x алдындағы коэффициентке бөліңіз."
Математика,medium,single_choice,Линейные уравнения,Сызықтық теңдеулер,Решите уравнение: 9x + (8) = 107,Теңдеуді шешіңіз: 9x + (8) = 107,11|13|10|12,11|13|10|12,1,,,,,Перенесите свободный член и разделите на коэффициент при x.,"Бос мүшені көшіріп, x алдындағы коэффициентке бөліңіз."
Математика,medium,single_choice,Линейные уравнения,Сызықтық теңдеулер,Решите уравнение: 5x + (-4) = 6,Теңдеуді шешіңіз: 5x + (-4) = 6,3|4|2|1,3|4|2|1,3,,,,,Перенесите свободный член и разделите на коэффициент при x.,"Бос мүшені көшіріп, x алдындағы коэффициентке бөліңіз."
Математика,medium,single_choice,Линейные уравнения,Сызықтық теңдеулер,Решите уравнение: 7x + (-7) = -42,Теңдеуді шешіңіз: 7x + (-7) = -42,-3|-4|-5|-6,-3|-4|-5|-6,3,,,,,Перенесите свободный член и разделите на коэффициент при x.,"Бос мүшені көшіріп, x алдындағы коэффициентке бөліңіз."
Математика,medium,single_choice,Линейные уравнения,Сызықтық теңдеулер,Решите уравнение: 3x + (-16) = -13,Теңдеуді шешіңіз: 3x + (-16) = -13,0|2|3|1,0|2|3|1,4,,,,,Перенесите свободный член и разделите на коэффициент при x.,"Бос мүшені көшіріп, x алдындағы коэффициентке бөліңіз."
Математика,medium,single_choice,Линейные уравнения,Сызықтық теңдеулер,Решите уравнение: 9x + (13) = 49,Теңдеуді шешіңіз: 9x + (13) = 49,4|5|6|3,4|5|6|3,1,,,,,Перенесите свободный член и разделите на коэффициент при x.,"Бос мүшені көшіріп, x алдындағы коэффициентке бөліңіз."
Математика,medium,single_choice,Линейные уравнения,Сызықтық теңдеулер,Решите уравнение: 6x + (-14) = -26,Теңдеуді шешіңіз: 6x + (-14) = -26,-1|-3|-2|0,-1|-3|-2|0,3,,,,,Перенесите свободный член и разделите на коэффициент при x.,"Бос мүшені көшіріп, x алдындағы коэффициентке бөліңіз."
Математика,medium,single_choice,Линейные уравнения,Сызықтық теңдеулер,Решите уравнение: 4x + (2) = 18,Теңдеуді шешіңіз: 4x + (2) = 18,3|5|6|4,3|5|6|4,4,,,,,Перенесите свободный член и разделите на коэффициент при x.,"Бос мүшені көшіріп, x алдындағы коэффициентке бөліңіз."
Математика,medium,single_choice,Линейные уравнения,Сызықтық теңдеулер,Решите уравнение: 4x + (-15) = -39,Теңдеуді шешіңіз: 4x + (-15) = -39,-6|-7|-4|-5,-6|-7|-4|-5,1,,,,,Перенесите свободный член и разделите на коэффициент при x.,"Бос мүшені көшіріп, x алдындағы коэффициентке бөліңіз."
Математика,medium,single_choice,Линейные уравнения,Сызықтық теңдеулер,Решите уравнение: 9x + (8) = 62,Теңдеуді шешіңіз: 9x + (8) = 62,6|5|7|8,6|5|7|8,1,,,,,Перенесите свободный член и разделите на коэффициент при x.,"Бос мүшені көшіріп, x алдындағы коэффициентке бөліңіз."
Математика,medium,single_choice,Линейные уравнения,Сызықтық теңдеулер,Решите уравнение: 8x + (-16) = 16,Теңдеуді шешіңіз: 8x + (-16) = 16,4|3|6|5,4|3|6|5,1,,,,,Перенесите свободный член и разделите на коэффициент при x.,"Бос мүшені көшіріп, x алдындағы коэффициентке бөліңіз."
Математика,medium,single_choice,Линейные уравнения,Сызықтық теңдеулер,Решите уравнение: 8x + (-11) = 53,Теңдеуді шешіңіз: 8x + (-11) = 53,7|9|8|10,7|9|8|10,3,,,,,Перенесите свободный член и разделите на коэффициент при x.,"Бос мүшені көшіріп, x алдындағы коэффициентке бөліңіз."
Математика,medium,single_choice,Линейные уравнения,Сызықтық теңдеулер,Решите уравнение: 8x + (-12) = -60,Теңдеуді шешіңіз: 8x + (-12) = -60,-6|-4|-5|-7,-6|-4|-5|-7,1,,,,,Перенесите свободный член и разделите на коэффициент при x.,"Бос мүшені көшіріп, x алдындағы коэффициентке бөліңіз."
Математика,medium,single_choice,Линейные уравнения,Сызықтық теңдеулер,Решите уравнение: 3x + (4) = 10,Теңдеуді шешіңіз: 3x + (4) = 10,2|3|4|1,2|3|4|1,1,,,,,Перенесите свободный член и разделите на коэффициент при x.,"Бос мүшені көшіріп, x алдындағы коэффициентке бөліңіз."
Математика,medium,single_choice,Линейные уравнения,Сызықтық теңдеулер,Решите уравнение: 4x + (-9) = -29,Теңдеуді шешіңіз: 4x + (-9) = -29,-4|-3|-5|-6,-4|-3|-5|-6,3,,,,,Перенесите свободный член и разделите на коэффициент при x.,"Бос мүшені көшіріп, x алдындағы коэффициентке бөліңіз."
Математика,medium,single_choice,Линейные уравнения,Сызықтық теңдеулер,Решите уравнение: 5x + (-14) = -24,Теңдеуді шешіңіз: 5x + (-14) = -24,-3|-1|0|-2,-3|-1|0|-2,4,,,,,Перенесите свободный член и разделите на коэффициент при x.,"Бос мүшені көшіріп, x алдындағы коэффициентке бөліңіз."
Математика,medium,single_choice,Линейные уравнения,Сызықтық теңдеулер,Решите уравнение: 2x + (-7) = -3,Теңдеуді шешіңіз: 2x + (-7) = -3,1|3|2|4,1|3|2|4,3,,,,,Перенесите свободный член и разделите на коэффициент при x.,"Бос мүшені көшіріп, x алдындағы коэффициентке бөліңіз."
Математика,medium,single_choice,Линейные уравнения,Сызықтық теңдеулер,Решите уравнение: 2x + (-17) = -13,Теңдеуді шешіңіз: 2x + (-17) = -13,1|4|3|2,1|4|3|2,4,,,,,Перенесите свободный член и разделите на коэффициент при x.,"Бос мүшені көшіріп, x алдындағы коэффициентке бөліңіз."
Математика,medium,single_choice,Линейные уравнения,Сызықтық теңдеулер,Решите уравнение: 2x + (-3) = 9,Теңдеуді шешіңіз: 2x + (-3) = 9,5|8|6|7,5|8|6|7,3,,,,,Перенесите свободный член и разделите на коэффициент при x.,"Бос мүшені көшіріп, x алдындағы коэффициентке бөліңіз."
Математика,medium,single_choice,Линейные уравнения,Сызықтық теңдеулер,Решите уравнение: 7x + (-13) = -55,Теңдеуді шешіңіз: 7x + (-13) = -55,-6|-4|-5|-7,-6|-4|-5|-7,1,,,,,Перенесите свободный член и разделите на коэффициент при x.,"Бос мүшені көшіріп, x алдындағы коэффициентке бөліңіз."
Математика,medium,single_choice,Линейные уравнения,Сызықтық теңдеулер,Решите уравнение: 4x + (8) = -20,Теңдеуді шешіңіз: 4x + (8) = -20,-6|-8|-7|-5,-6|-8|-7|-5,3,,,,,Перенесите свободный член и разделите на коэффициент при x.,"Бос мүшені көшіріп, x алдындағы коэффициентке бөліңіз."
Математика,medium,single_choice,Линейные уравнения,Сызықтық теңдеулер,Решите уравнение: 9x + (-1) = 17,Теңдеуді шешіңіз: 9x + (-1) = 17,1|4|2|3,1|4|2|3,3,,,,,Перенесите свободный член и разделите на коэффициент при x.,"Бос мүшені көшіріп, x алдындағы коэффициентке бөліңіз."
Математика,medium,single_choice,Линейные уравнения,Сызықтық теңдеулер,Решите уравнение: 4x + (14) = 50,Теңдеуді шешіңіз: 4x + (14) = 50,10|8|9|11,10|8|9|11,3,,,,,Перенесите свободный член и разделите на коэффициент при x.,"Бос мүшені көшіріп, x алдындағы коэффициентке бөліңіз."
Математика,medium,single_choice,Линейные уравнения,Сызықтық теңдеулер,Решите уравнение: 9x + (11) = 56,Теңдеуді шешіңіз: 9x + (11) = 56,7|6|5|4,7|6|5|4,3,,,,,Перенесите свободный член и разделите на коэффициент при x.,"Бос мүшені көшіріп, x алдындағы коэффициентке бөліңіз."
Математика,medium,single_choice,Линейные уравнения,Сызықтық теңдеулер,Решите уравнение: 5x + (-8) = -48,Теңдеуді шешіңіз: 5x + (-8) = -48,-7|-6|-9|-8,-7|-6|-9|-8,4,,,,,Перенесите свободный член и разделите на коэффициент при x.,"Бос мүшені көшіріп, x алдындағы коэффициентке бөліңіз."
Математика,medium,single_choice,Линейные уравнения,Сызықтық теңдеулер,Решите уравнение: 5x + (-15) = -45,Теңдеуді шешіңіз: 5x + (-15) = -45,-7|-4|-5|-6,-7|-4|-5|-6,4,,,,,Перенесите свободный член и разделите на коэффициент при x.,"Бос мүшені көшіріп, x алдындағы коэффициентке бөліңіз."
Математика,medium,single_choice,Линейные уравнения,Сызықтық теңдеулер,Решите уравнение: 9x + (15) = 123,Теңдеуді шешіңіз: 9x + (15) = 123,12|13|11|14,12|13|11|14,1,,,,,Перенесите свободный член и разделите на коэффициент при x.,"Бос мүшені көшіріп, x алдындағы коэффициентке бөліңіз."
Математика,medium,single_choice,Линейные уравнения,Сызықтық теңдеулер,Решите уравнение: 8x + (2) = 42,Теңдеуді шешіңіз: 8x + (2) = 42,4|5|7|6,4|5|7|6,2,,,,,Перенесите свободный член и разделите на коэффициент при x.,"Бос мүшені көшіріп, x алдындағы коэффициентке бөліңіз."
Математика,medium,single_choice,Линейные уравнения,Сызықтық теңдеулер,Решите уравнение: 4x + (-14) = 26,Теңдеуді шешіңіз: 4x + (-14) = 26,11|9|10|12,11|9|10|12,3,,,,,Перенесите свободный член и разделите на коэффициент при x.,"Бос мүшені көшіріп, x алдындағы коэффициентке бөліңіз."
